epoch,reward,loss,policy_loss,value_loss,entropy
198,0.7075,0.4178,-0.0113,0.9000,4.1942
199,0.6834,0.4163,-0.0128,0.9002,4.2050
200,0.7326,0.4189,-0.0103,0.9001,4.1705
201,0.7042,0.4167,-0.0125,0.9002,4.1622
202,0.6906,0.4161,-0.0131,0.9001,4.1628
203,0.7565,0.4207,-0.0087,0.9003,4.1610
204,0.7289,0.4164,-0.0129,0.9000,4.1570
205,0.8130,0.4186,-0.0106,0.9000,4.1601
206,0.6554,0.4105,-0.0188,0.9002,4.1521
207,0.6599,0.4161,-0.0133,0.9001,4.1422
208,0.7931,0.4165,-0.0129,0.8999,4.1235
209,0.6898,0.4135,-0.0161,0.9002,4.1120
210,0.7421,0.4179,-0.0116,0.9000,4.1086
211,0.6668,0.4151,-0.0145,0.9004,4.1141
212,0.7594,0.4152,-0.0143,0.9001,4.1034
213,0.7590,0.4135,-0.0160,0.9000,4.0915
214,0.7465,0.4180,-0.0117,0.9003,4.1014
215,0.6284,0.4182,-0.0115,0.9003,4.0909
216,0.7732,0.4122,-0.0175,0.9001,4.0793
217,0.7140,0.4133,-0.0164,0.9003,4.0830
218,0.8052,0.4186,-0.0115,0.9007,4.0571
219,0.8209,0.4102,-0.0195,0.9000,4.0524
220,0.6300,0.4110,-0.0188,0.9002,4.0498
221,0.7310,0.4099,-0.0200,0.9004,4.0489
222,0.7370,0.4152,-0.0149,0.9004,4.0241
223,0.7683,0.4144,-0.0155,0.9001,4.0319
224,0.7007,0.4101,-0.0199,0.9003,4.0214
225,0.7306,0.4158,-0.0142,0.9002,4.0113
226,0.6371,0.4125,-0.0173,0.9000,4.0420
227,0.7218,0.4122,-0.0178,0.8999,4.0006
228,0.6856,0.4077,-0.0223,0.9003,4.0249
229,0.7811,0.4119,-0.0182,0.9003,4.0059
230,0.7624,0.4108,-0.0192,0.8999,3.9962
231,0.7936,0.4114,-0.0187,0.9000,3.9903
232,0.7769,0.4079,-0.0221,0.9000,4.0000
233,0.7791,0.3981,-0.0319,0.9000,3.9970
234,0.7700,0.4096,-0.0204,0.9000,4.0086
235,0.7537,0.4083,-0.0216,0.8999,4.0152
236,0.7385,0.4063,-0.0237,0.9001,4.0092
237,0.7627,0.4029,-0.0274,0.9007,4.0076
238,0.6342,0.3988,-0.0314,0.9006,4.0125
239,0.7141,0.4074,-0.0226,0.9004,4.0298
240,0.7577,0.3980,-0.0324,0.9007,4.0034
241,0.7946,0.4071,-0.0229,0.9000,4.0100
242,0.7051,0.3964,-0.0334,0.9000,4.0232
243,0.7433,0.4042,-0.0257,0.9000,4.0181
244,0.6984,0.4015,-0.0285,0.9003,4.0339
245,0.7479,0.3941,-0.0358,0.9001,4.0305
246,0.7890,0.4050,-0.0250,0.9003,4.0302
247,0.6816,0.3976,-0.0322,0.9000,4.0416
248,0.7182,0.4006,-0.0292,0.9001,4.0448
249,0.7239,0.4028,-0.0271,0.9001,4.0453
250,0.7113,0.3959,-0.0338,0.9000,4.0562
251,0.8129,0.3954,-0.0343,0.8999,4.0636
252,0.7549,0.4043,-0.0254,0.9000,4.0639
253,0.6855,0.3938,-0.0360,0.9001,4.0547
254,0.6770,0.3915,-0.0382,0.9002,4.0796
255,0.7517,0.3943,-0.0354,0.9001,4.0688
256,0.7306,0.3910,-0.0390,0.9006,4.0588
257,0.6579,0.3880,-0.0416,0.8998,4.0643
258,0.8120,0.3959,-0.0338,0.9000,4.0601
259,0.7535,0.3885,-0.0411,0.9001,4.0818
260,0.7205,0.3888,-0.0407,0.9001,4.1163
261,0.7349,0.3970,-0.0325,0.9000,4.0948
262,0.6286,0.3863,-0.0433,0.9001,4.1025
263,0.7657,0.3806,-0.0489,0.9001,4.1008
264,0.7333,0.3906,-0.0388,0.9001,4.1347
265,0.6613,0.3922,-0.0371,0.9000,4.1410
266,0.6954,0.3837,-0.0456,0.9001,4.1562
267,0.6898,0.3829,-0.0463,0.9001,4.1678
268,0.6829,0.4055,-0.0235,0.9000,4.1913
269,0.6451,0.3839,-0.0451,0.9000,4.2023
270,0.6932,0.3949,-0.0341,0.9000,4.2037
271,0.6463,0.3921,-0.0371,0.9005,4.2218
272,0.6485,0.3909,-0.0381,0.9003,4.2255
273,0.6557,0.3966,-0.0325,0.9002,4.2001
274,0.6756,0.3879,-0.0412,0.9000,4.1842
275,0.7696,0.3990,-0.0299,0.8999,4.2125
276,0.7167,0.3849,-0.0439,0.9002,4.2545
277,0.6875,0.3824,-0.0462,0.9001,4.2973
278,0.5381,0.3816,-0.0470,0.9001,4.3027
279,0.5260,0.3741,-0.0549,0.9007,4.2706
280,0.5251,0.3778,-0.0510,0.9004,4.2769
281,0.6649,0.3807,-0.0481,0.9005,4.2805
282,0.7365,0.3849,-0.0448,0.9022,4.2899
283,0.6875,0.3863,-0.0423,0.9000,4.2906
284,0.6834,0.3832,-0.0454,0.9003,4.3060
285,0.7639,0.3783,-0.0504,0.9002,4.2982
286,0.7892,0.3799,-0.0487,0.9002,4.3154
287,0.6570,0.3869,-0.0420,0.9010,4.3263
288,0.6610,0.3847,-0.0451,0.9029,4.3321
289,0.7547,0.3808,-0.0477,0.9004,4.3508
290,0.6537,0.3835,-0.0452,0.9007,4.3375
291,0.7328,0.3782,-0.0505,0.9008,4.3393
292,0.6706,0.3750,-0.0535,0.9001,4.3113
293,0.5129,0.3882,-0.0403,0.9004,4.3422
294,0.7323,0.3980,-0.0305,0.9005,4.3599
295,0.6927,0.3787,-0.0493,0.9006,4.4536
296,0.7043,0.3808,-0.0475,0.9001,4.3635
297,0.5934,0.3800,-0.0482,0.9006,4.4062
298,0.5344,0.3835,-0.0449,0.9006,4.3845
299,0.6613,0.3820,-0.0468,0.9012,4.3573
300,0.4803,0.3685,-0.0598,0.9005,4.3807
301,0.6333,0.3663,-0.0621,0.9003,4.3471
302,0.6420,0.3768,-0.0525,0.9016,4.3130
303,0.5156,0.3784,-0.0508,0.9019,4.3487
304,0.7124,0.3863,-0.0419,0.9001,4.3714
305,0.6599,0.3789,-0.0493,0.9003,4.3911
306,0.6046,0.3793,-0.0488,0.9002,4.3958
307,0.7387,0.3760,-0.0523,0.9008,4.4155
308,0.6397,0.3810,-0.0479,0.9017,4.3918
309,0.5923,0.3777,-0.0505,0.9003,4.4006
310,0.6402,0.3667,-0.0613,0.9000,4.3929
311,0.7979,0.3904,-0.0378,0.9008,4.4286
312,0.7128,0.3772,-0.0505,0.9000,4.4606
313,0.6661,0.3683,-0.0598,0.9015,4.5154
314,0.7284,0.3767,-0.0564,0.9114,4.5279
315,0.6240,0.3897,-0.0496,0.9240,4.5230
316,0.7273,0.3773,-0.0613,0.9223,4.5215
317,0.5402,0.3989,-0.0592,0.9609,4.4862
318,0.6345,0.4039,-0.0520,0.9566,4.4711
319,0.6914,0.3720,-0.0590,0.9069,4.4934
320,0.5536,0.3760,-0.0536,0.9039,4.4705
321,0.5273,0.3691,-0.0608,0.9045,4.4606
322,0.7150,0.3905,-0.0490,0.9233,4.4403
323,0.6719,0.3781,-0.0587,0.9181,4.4444
324,0.7046,0.3978,-0.0502,0.9405,4.4462
325,0.6588,0.3869,-0.0585,0.9351,4.4291
326,0.7150,0.3798,-0.0549,0.9139,4.4537
327,0.5267,0.3694,-0.0626,0.9089,4.4971
328,0.6051,0.3809,-0.0544,0.9158,4.5124
329,0.5955,0.3799,-0.0533,0.9121,4.5665
330,0.6081,0.3916,-0.0473,0.9234,4.5555
331,0.4816,0.3714,-0.0607,0.9097,4.5430
332,0.6151,0.3833,-0.0483,0.9089,4.5693
333,0.4515,0.3756,-0.0528,0.9019,4.5145
334,0.5492,0.3687,-0.0591,0.9010,4.5424
335,0.5879,0.3793,-0.0481,0.9004,4.5552
336,0.5573,0.3718,-0.0563,0.9020,4.5724
