number,value,datetime_start,datetime_complete,duration,params_T_max,params_clip_epsilon,params_entropy_coef,params_eta_min,params_gae_lambda,params_gamma,params_lr,params_scheduler,params_value_loss_coef,state
45,47.844443003336586,2025-03-14 01:34:59.726540,2025-03-14 01:49:28.236296,0 days 00:14:28.509756,46,0.2467658727735712,0.07900733242011454,4.75972432350471e-06,0.9525534767578661,0.968224597309245,0.00018826350573059825,cosine,0.9270618283662793,COMPLETE
46,105.32539749145508,2025-03-14 01:35:12.382408,2025-03-14 01:48:09.544377,0 days 00:12:57.161969,37,0.2715840744914204,0.04191396000222892,7.909874760454053e-06,0.9598212927514135,0.9776192624404607,0.0001851065771858591,step,0.7844607643192814,COMPLETE
47,85.13690439860027,2025-03-14 01:35:36.697724,2025-03-14 01:48:37.084502,0 days 00:13:00.386778,43,0.2620028540810325,0.04222377294514434,3.923629860764464e-06,0.9776032818203105,0.9759101343049298,0.00026761550336856104,cosine,0.9728434714787763,COMPLETE
48,84.39285786946614,2025-03-14 01:35:50.026601,2025-03-14 01:48:35.145195,0 days 00:12:45.118594,46,0.17033980910573673,0.02592374116025127,2.8626982016498435e-06,0.9812473190564632,0.9748937590247708,0.00021906410245647493,cosine,0.9442716945850171,COMPLETE
49,,2025-03-14 01:48:46.398982,2025-03-14 01:49:01.359362,0 days 00:00:14.960380,45,0.26614624681829946,0.012157485303127666,4.617729837011016e-06,0.941297541527285,0.9810318560862954,0.00018838405690356556,step,0.8456772227761481,FAIL
50,,2025-03-14 01:49:54.298762,2025-03-14 01:54:12.394929,0 days 00:04:18.096167,7,0.2788553234346915,0.00025003593637438955,6.412901358272301e-07,0.9314874116078775,0.9705631311310012,0.000517946758109118,step,0.8746363188426957,FAIL
51,58.209259033203125,2025-03-14 01:49:57.150133,2025-03-14 02:03:21.272718,0 days 00:13:24.122585,38,0.2704579352279997,0.04372508764612915,8.777493288680215e-06,0.9488982434105498,0.9838962022265478,0.00034079779434657273,step,0.6281285327505162,COMPLETE
52,,2025-03-14 01:49:57.155457,2025-03-14 01:50:18.259079,0 days 00:00:21.103622,34,0.2962280991398313,0.032401362299829616,9.130671178534277e-06,0.9825426499596928,0.9821563369765774,4.4388519834422127e-05,step,0.746265110878161,FAIL
53,74.00740814208984,2025-03-14 01:50:36.155548,2025-03-14 02:03:41.988692,0 days 00:13:05.833144,42,0.2893489022628085,0.06703267475012473,4.0074430997274045e-06,0.9428874405993878,0.9933951911940899,0.00010414106603994012,step,0.9506440611079557,COMPLETE
54,,2025-03-14 01:50:48.850379,2025-03-14 02:03:25.603270,0 days 00:12:36.752891,39,0.2582451017424733,0.09371989740545793,2.601322310726178e-06,0.9459233392380573,0.9885035423400383,0.00028359177024332423,step,0.8813772211461586,FAIL
55,,2025-03-14 01:54:46.008736,2025-03-14 02:03:24.967812,0 days 00:08:38.959076,43,0.2981217135544962,0.01631181518448087,9.543424980721023e-06,0.9604098615898016,0.976496943598814,0.0002368242524960088,step,0.6181929675989022,FAIL
56,77.32407633463542,2025-03-14 02:05:02.550622,2025-03-14 02:18:10.845472,0 days 00:13:08.294850,38,0.14661921511822543,0.013531357854113898,9.981819329118533e-06,0.9513759905852281,0.9766225180468859,0.00017252878767455866,cosine,0.9991766055044706,COMPLETE
57,87.625,2025-03-14 02:05:02.556997,2025-03-14 02:19:20.762746,0 days 00:14:18.205749,12,0.2923950575456892,0.0006785443724435246,2.6112284135245447e-07,0.9434069407150941,0.9749780835374666,0.0007451472387261917,cosine,0.8227612912028466,COMPLETE
58,121.54444376627605,2025-03-14 02:05:02.556445,2025-03-14 02:17:49.919728,0 days 00:12:47.363283,50,0.235653787770534,0.0015840040048073613,2.3373469520635615e-06,0.9517209244848258,0.9831528924741969,0.0004736540376129176,cosine,0.9426121326203691,COMPLETE
59,66.00370407104492,2025-03-14 02:05:11.623159,2025-03-14 02:18:07.000285,0 days 00:12:55.377126,46,0.2930073086256302,0.0028395619918481878,8.072256799171215e-06,0.9355354771501889,0.9734982754659838,0.00028796236842075425,cosine,0.8301645370759492,COMPLETE
60,,2025-03-14 02:18:25.636155,2025-03-14 02:18:41.647315,0 days 00:00:16.011160,41,0.2566935483273428,0.011315638494424069,3.5434975081625235e-06,0.9620658054087536,0.9678679444330861,0.00014460704087846028,step,0.8584191877392657,FAIL
61,80.77777767181396,2025-03-14 02:19:27.080703,2025-03-14 02:32:52.774498,0 days 00:13:25.693795,49,0.15824506578106046,0.04801555580359803,2.376779999484643e-06,0.9401505450005497,0.9824364031162236,0.0004332115107139763,step,0.8726668371123621,COMPLETE
62,,2025-03-14 02:19:30.217126,2025-03-14 02:32:56.660486,0 days 00:13:26.443360,47,0.22139187036605257,0.0020320092521845102,2.4367459380914807e-06,0.9462743603831579,0.9989257693932289,0.00024688514062914604,cosine,0.9284467581112925,FAIL
63,,2025-03-14 02:19:30.650579,2025-03-14 02:32:56.132641,0 days 00:13:25.482062,44,0.19579165590526187,0.0007566691359206508,1.0503064860785241e-06,0.9545543104546869,0.9831364836449651,9.971330146492266e-05,cosine,0.966719347646782,FAIL
